Proton,Neutron,Mass,Nucleus,Name,Spin,Abundance (%),Gamma (MHz/T),Q (fm^2),$\gamma_h/\gamma_n$,Refsample,SampleCondition,Lifetime(y),Gamma
1,0,1,H,Hydrogen,0.5,99.9885,42.57746906,0,100,Me<sub>4</sub>Si,"CDCl<sub>3</sub>, φ = 1%",-,26.7522128
1,1,2,H,Hydrogen,1.0,0.0115,6.535901313,0.285783,15.350609,(CD<sub>3</sub>)<sub>4</sub>Si,neat,-,4.10662791
1,2,3,H,Hydrogen,0.5,-,45.41482784,0,106.663974,Me<sub>4</sub>Si-t1,-,12.32 y,28.5349779
2,1,3,He,Helium,0.5,1.37E-04,-32.43602998,0,76.179437,He,gas,-,-20.3801587
3,3,6,Li,Lithium,1.0,7.59,6.266202105,-0.0808,14.716086,LiCl,"D<sub>2</sub>O, 9.7 m ",-,3.9371709
3,4,7,Li,Lithium,1.5,92.41,16.54845559,-4.01,38.863797,LiCl,"D<sub>2</sub>O, 9.7 m ",-,10.3977013
3,5,8,Li,Lithium,2.0,-,6.301421662,3.14,14.763,-,-,848 ms,3.9593
4,5,9,Be,Berrylium,1.5,100,-5.983694283,5.288,14.051813,BeSO<sub>4</sub>,"D<sub>2</sub>O, 0.43 m",-,-3.759666
5,5,10,B,Boron,3.0,19.9,4.57519309,8.459,10.743658,BF<sub>3</sub>·Et<sub>2</sub>O,CDCl<sub>3</sub>,-,2.8746786
5,6,11,B,Boron,1.5,80.1,13.6629814,4.059,32.083974,BF<sub>3</sub>·Et<sub>2</sub>O,CDCl<sub>3</sub>,-,8.5847044
6,7,13,C,Carbon,0.5,1.07,10.70839657,0,25.14502,Me<sub>4</sub>Si,"CDCl<sub>3</sub>, φ = 1%",-,6.728284
7,7,14,N,Nitrogen,1.0,99.632,3.077705185,2.044,7.226317,CH<sub>3</sub>NO<sub>2</sub>,neat/CDCl<sub>3</sub>,-,1.9337792
7,8,15,N,Nitrogen,0.5,0.368,-4.317265698,0,10.136767,MeNO<sub>2</sub>,neat/CDCl<sub>3</sub>,-,-2.71261804
8,9,17,O,Oxygen,2.5,0.038,-5.774268659,-2.558,13.556457,D<sub>2</sub>O,neat,-,-3.62808
9,10,19,F,Fluor,0.5,100,40.07757016,0,94.094011,CCl<sub>3</sub>F,-,-,25.18148
10,11,21,Ne,Neon,1.5,0.27,-3.363071271,10.155,7.894296,Ne,"Gas, 1.1 MPa",-,-2.11308
11,12,23,Na,Natrium,1.5,100,11.26952167,10.4,26.4519,NaCl,"D<sub>2</sub>O, 0.1 M",-,7.0808493
12,13,25,Mg,Magnesium,2.5,10,-2.608342616,19.94,6.121635,MgCl<sub>2</sub>,"D<sub>2</sub>O, 11 M",-,-1.63887
13,14,27,Al,Aluminium,2.5,100,11.10308094,14.66,26.056859,Al(NO<sub>3</sub>)<sub>3</sub>,"D<sub>2</sub>O, 1.1 m",-,6.9762715
14,15,29,Si,Silicon,0.5,4.6832,-8.465451423,0,19.867187,Me<sub>4</sub>Si,"CDCl<sub>3</sub>, φ = 1%",-,-5.319
